Committee,SubComittee,Chair_Names,Party,State,Ranking_Members
"Agriculture, Nutrition and Forestry","Agriculture, Nutrition and Forestry",Pat Roberts,D,MI,Debbie Stabenow
SubCommittee,"Commodities, Risk Management and Trade",John Boozman,D,OH,Sherrod Brown
SubCommittee,"Conservation, Forestry and Natural Resources",Mike Braun,D,CO,Michael Bennet
SubCommittee,"Livestock, Marketing and Agriculture Security",Cindy Hyde-Smith,D,NY,Kirsten Gillibrand
SubCommittee,"Nutrition, Agricultural Research and Specialty Crops",Deb Fischer,D,PA,Bob Casey
SubCommittee,Rural Development and Energy,Joni Ernst,D,MN,Tina Smith
Appropriations,Appropriations,Richard Shelby,D,VT,Patrick Leahy
SubCommittee,"Agriculture, Rural Development, Food and Drug Administration and Related Agencies",John Hoeven,D,OR,Jeff Merkley
SubCommittee,"Commerce, Justice, Science and Related Agencies",Jerry Moran,D,NH,Jeanne Shaheen
SubCommittee,Defense,Richard Shelby,D,IL,Dick Durbin
SubCommittee,Energy and Water Development,Lamar Alexander,D,CA,Dianne Feinstein
SubCommittee,Financial Services and General Government,John Kennedy,D,DE,Chris Coons
SubCommittee,Homeland Security,Shelley Moore Capito,D,MT,Jon Tester
SubCommittee,"Interior, Environment and Related Agencies",Lisa Murkowski,D,NM,Tom Udall
SubCommittee,"Labor, Health and Human Services, Education and Related Agencies",Roy Blunt,D,WA,Patty Murray
SubCommittee,Legislative Branch,Cindy Hyde-Smith,D,CT,Chris Murphy
SubCommittee,"Military Construction, Veterans Affairs and Related Agencies",John Boozman,D,HI,Brian Schatz
SubCommittee,"State, Foreign Operations and Related Programs",Lindsey Graham,D,VT,Patrick Leahy
SubCommittee,"Transportation, Housing and Urban Development and Related Agencies",Susan Collins,D,RI,Jack Reed
Armed Services,Armed Services,Jim Inhofe,D,RI,Jack Reed
SubCommittee,Airland,Tom Cotton,I,ME,Angus King
SubCommittee,Cybersecurity,Mike Rounds,D,WV,Joe Manchin
SubCommittee,Emerging Threats and Capabilities,Joni Ernst,D,MI,Gary Peters
SubCommittee,Personnel,Thom Tillis,D,NY,Kirsten Gillibrand
SubCommittee,Readiness and Management Support,Dan Sullivan,D,VA,Tim Kaine
SubCommittee,Seapower,David Perdue,D,HI,Mazie Hirono
SubCommittee,Strategic Forces,Deb Fischer,D,NM,Martin Heinrich
"Banking, Housing and Urban Affairs","Banking, Housing and Urban Affairs",Mike Crapo,D,OH,Sherrod Brown
SubCommittee,Economic Policy,Tom Cotton,D,NV,Catherine Cortez Masto
SubCommittee,Financial Institutions and Consumer Protection,Tim Scott,D,MA,Elizabeth Warren
SubCommittee,"Housing, Transportation and Community Development",David Perdue,D,NJ,Bob Menendez
SubCommittee,National Security and International Trade and Finance,Ben Sasse,D,VA,Mark Warner
SubCommittee,"Securities, Insurance and Investment",Pat Toomey,D,MD,Chris Van Hollen
Budget,Budget,Mike Enzi,I,VT,Bernie Sanders
"Commerce, Science and Transportation","Commerce, Science and Transportation",Roger Wicker,D,WA,Maria Cantwell
SubCommittee,Aviation and Space,Ted Cruz,D,AZ,Kyrsten Sinema
SubCommittee,"Communications, Technology, Innovation and the Internet",John Thune,D,HI,Brian Schatz
SubCommittee,"Manufacturing, Trade and Consumer Protection",Jerry Moran,D,CT,Richard Blumenthal
SubCommittee,"Science, Oceans, Fisheries and Weather",Cory Gardner,D,WI,Tammy Baldwin
SubCommittee,Security,Dan Sullivan,D,MA,Ed Markey
SubCommittee,Transportation and Safety,Deb Fischer,D,IL,Tammy Duckworth
Energy and Natural Resources,Energy and Natural Resources,Lisa Murkowski,D,WV,Joe Manchin
SubCommittee,Energy,Bill Cassidy,D,NM,Martin Heinrich
SubCommittee,National Parks,Steve Daines,I,ME,Angus King
SubCommittee,"Public Lands, Forests and Mining",Mike Lee,D,OR,Ron Wyden
SubCommittee,Water and Power,Martha McSally,D,NV,Catherine Cortez Masto
Environment and Public Works,Environment and Public Works,John Barrasso,D,DE,Tom Carper
SubCommittee,Clean Air and Nuclear Safety,Mike Braun,D,RI,Sheldon Whitehouse
SubCommittee,"Fisheries, Water and Wildlife",Kevin Cramer,D,IL,Tammy Duckworth
SubCommittee,"Superfund, Waste Management and Regulatory Oversight",Mike Rounds,D,NJ,Cory Booker
SubCommittee,Transportation and Infrastructure,Shelley Moore Capito,D,MD,Ben Cardin
Finance,Finance,Chuck Grassley,D,OR,Ron Wyden
SubCommittee,"Energy, Natural Resources and Infrastructure",Tim Scott,D,CO,Michael Bennet
SubCommittee,Fiscal Responsibility and Economic Growth,Bill Cassidy,D,NH,Maggie Hassan
SubCommittee,Health Care,Pat Toomey,D,MI,Debbie Stabenow
SubCommittee,"International Trade, Customs and Global Competitiveness",John Cornyn,D,PA,Bob Casey
SubCommittee,"Social Security, Pensions and Family Policy",Rob Portman,D,OH,Sherrod Brown
SubCommittee,Taxation and IRS Oversight,John Thune,D,VA,Mark Warner
Foreign Relations,Foreign Relations,Jim Risch,D,NJ,Bob Menendez
SubCommittee,Africa and Global Health Policy,Lindsey Graham,D,VA,Tim Kaine
SubCommittee,"East Asia, the Pacific and International Cybersecurity Policy",Cory Gardner,D,MA,Ed Markey
SubCommittee,Europe and Regional Security Cooperation,Ron Johnson,D,NH,Jeanne Shaheen
SubCommittee,"Multilateral International Development, Multilateral Institutions and International Economic, Energy and Environmental Policy",Todd Young,D,OR,Jeff Merkley
SubCommittee,"Near East, South Asia, Central Asia and Counterterrorism",Mitt Romney,D,CT,Chris Murphy
SubCommittee,"State Department and USAID Management, International Operations and Bilateral International Development",VACANT,D,NJ,Cory Booker
SubCommittee,"Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights and Global Women's Issues",Marco Rubio,D,MD,Ben Cardin
"Health, Education, Labor and Pensions","Health, Education, Labor and Pensions",Lamar Alexander,D,WA,Patty Murray
SubCommittee,Children and Families,Rand Paul,D,PA,Bob Casey
SubCommittee,Employment and Workplace Safety,Tim Scott,D,WI,Tammy Baldwin
SubCommittee,Primary Health and Retirement Security,Mike Enzi,I,VT,Bernie Sanders
Homeland Security and Governmental Affairs,Homeland Security and Governmental Affairs,Ron Johnson,D,MI,Gary Peters
SubCommittee,Federal Spending Oversight and Emergency Management,Rand Paul,D,NH,Maggie Hassan
SubCommittee,Investigations (Permanent),Rob Portman,D,DE,Tom Carper
SubCommittee,Regulatory Affairs and Federal Management,James Lankford,D,AZ,Kyrsten Sinema
Judiciary,Judiciary,Lindsey Graham,D,CA,Dianne Feinstein
SubCommittee,"Antitrust, Competition Policy and Consumer Rights",Mike Lee,D,MN,Amy Klobuchar
SubCommittee,Border Security and Immigration,John Cornyn,D,IL,Dick Durbin
SubCommittee,Constitution,Ted Cruz,D,HI,Mazie Hirono
SubCommittee,Crime and Terrorism,Josh Hawley,D,RI,Sheldon Whitehouse
SubCommittee,Intellectual Property,Thom Tillis,D,DE,Chris Coons
SubCommittee,"Oversight, Agency Action, Federal Rights and Federal Courts",Ben Sasse,D,CT,Richard Blumenthal
Rules and Administration,Rules and Administration,Roy Blunt,D,MN,Amy Klobuchar
Small Business and Entrepreneurship,Small Business and Entrepreneurship,Marco Rubio,D,MD,Ben Cardin
Veterans' Affairs,Veterans' Affairs,Jerry Moran,D,MT,Jon Tester
