Name,State,Party,Total_Raised
Elizabeth Warren,MA,D,45964247
ConnellMitch McConnell,KY,R,30845825
Al Franken,MN,D,30770856
Marco Rubio,FL,R,30554421
Kirsten Gillibrand,NY,D,30322285
Pat Toomey,PA,R,26610308
Charles E. Schumer,NY,D,25578359
Sherrod Brown,OH,D,25406082
Kay R. Hagan,NC,D,24849812
Harry Reid,NV,D,23812691
CainJohn McCain,AZ,R,21581038
CaskillClaire McCaskill,MO,D,21055467
Mark Udall,CO,D,20559471
Mary L. Landrieu,LA,D,20015536
Rob Portman,OH,R,19137106
Tim Kaine,VA,D,19044379
Ron Johnson,WI,R,18631193
Ed Markey,MA,D,18624052
Ted Cruz,TX,R,18383145
Mark Kirk,IL,R,17966562
Cory Booker,NJ,D,17718139
John Cornyn,TX,R,17223563
Mark Warner,VA,D,17098544
Robert Menendez,NJ,D,16754724
Patty Murray,WA,D,16694426
Jeanne Shaheen,NH,D,16515174
Bill Nelson,FL,D,16172400
Roy Blunt,MO,R,16022045
Tammy Baldwin,WI,D,16007429
Michael F. Bennet,CO,D,15760874
Bob Casey,PA,D,14681759
Debbie Stabenow,MI,D,14161784
Rand Paul,KY,R,14009888
Jon Tester,MT,D,13930410
Barbara Boxer,CA,D,13906926
Maria Cantwell,WA,D,12684881
Bob Corker,TN,R,12590156
Mark Pryor,AR,D,12528098
Jeff Merkley,OR,D,12018377
John Thune,SD,D,11985182
Dianne Feinstein,CA,D,11887918
Orrin G. Hatch,UT,R,11510331
David Vitter,LA,R,11438682
Christopher S. Murphy,CT,D,11197394
Lindsey Graham,SC,R,11056889
Mark Begich,AK,D,10977987
Dick Durbin,IL,D,10320048
Dean Heller,NV,R,10296690
Richard Blumenthal,CT,D,10173295
Amy Klobuchar,MN,D,10070791
Joe Manchin,WV,D,9949737
Ron Wyden,OR,D,9808752
Chris Coons,DE,D,9676246
Jeff Flake,AZ,R,9504266
Johnny Isakson,GA,R,9422559
Richard Burr,NC,R,8910533
Kelly Ayotte,NH,R,8656729
Tom Udall,NM,D,8441116
Lamar Alexander,TN,R,8201067
Bernie Sanders,VT,I,8173915
Pat Roberts,KS,R,8040544
Thad Cochran,MS,R,7388054
Martin Heinrich,NM,D,7311487
Ben Cardin,MD,D,6838962
Tim Scott,SC,R,6809517
Joe Donnelly,IN,D,6797423
Chuck Grassley,IA,R,6752465
Richard C. Shelby,AL,R,6734614
Heidi Heitkamp,ND,D,6530709
Jerry Moran,KS,R,6392794
Dan Coats,IN,R,6250908
Susan Collins,ME,R,6228159
Mazie K. Hirono,HI,D,6152466
Brian Schatz,HI,D,6109936
Deb Fischer,NE,R,5831027
Lisa Murkowski,AK,R,5811798
John A. Barrasso,WY,R,5379607
Barbara A. Mikulski,MD,D,5304361
Mike Crapo,ID,R,5285184
Tom Carper,DE,D,4929191
James M. Inhofe,OK,R,4841285
Sheldon Whitehouse,RI,D,4816336
John Hoeven,ND,D,4696671
Roger Wicker,MS,R,4599017
Patrick Leahy,VT,D,4583423
John Boozman,AR,R,4421143
Jack Reed,RI,D,3960335
Mike Lee,UT,R,3860376
Mike Enzi,WY,R,3772045
Angus King,ME,I,3098168
John Walsh,MT,D,2997260
James E. Risch,ID,R,2902855
Tom Harkin,IA,D,2582782
Saxby Chambliss,GA,R,2457357
Tom Coburn,OK,R,2104355
Jeff Sessions,AL,R,1712253
Tim Johnson,SD,D,1622563
Jay Rockefeller,WV,D,1044452
Mike Johanns,NE,R,716208
Carl Levin,MI,D,116028
