State,State_Abbrv,Candidate,Party,Candidate_Votes,Total_Votes,lastName
Kansas,KS,Pat Roberts,Republican,460350,866191,Roberts
Oklahoma,OK,James M. Inhofe,Republican,558166,820733,Inhofe
Wyoming,WY,Michael B. Enzi,Republican,121554,171153,Enzi
Idaho,ID,James E. Risch,Republican,285596,437170,Risch
Tennessee,TN,Lamar Alexander,Republican,850087,1374065,Alexander
Minnesota,MN,Heather Johnson,Libertarian,29685,1981528,Johnson
Oklahoma,OK,Connie Johnson,Democrat,237923,820890,Johnson
South Carolina,SC,Lindsey Graham,Republican,672941,1240075,Graham
Alabama,AL,Richard C. Shelby,Republican,1335104,2087444,Shelby
Idaho,ID,Mike Crapo,Republican,449017,678943,Crapo
Alaska,AK,Lisa Murkowski,Republican,138149,311441,Murkowski
Iowa,IA,Chuck Grassley,Republican,926007,1541036,Grassley
Wisconsin,WI,Philip N. Anderson,Libertarian,87531,2948741,Anderson
Missouri,MO,Roy Blunt,Republican,1378458,2802641,Blunt
Florida,FL,Marco Rubio,Republican,4835191,9301820,Rubio
Kansas,KS,Jerry Moran,Republican,732376,1177922,Moran
Mississippi,MS,David Baria,Democrat,369567,1843803,Baria
West Virginia,WV,Joe Manchin,Democrat,288808,582911,Manchin
New Jersey,NJ,Hank Schroeder,economic growth,8854,3169310,Schroeder
