State,State_Abbrv,Candidate,Party,Candidate_Votes,Total_Votes
Alaska,AK,Mark Begich,Democrat,129431,282400
Arkansas,AR,Mark L. Pryor,Democrat,334174,847505
Colorado,CO,Mark Udall,Democrat,944203,2041058
Delaware,DE,Christopher A. Coons,Democrat,130655,234038
Georgia,GA,M. Michelle Nunn,Democrat,1160811,2567805
Hawaii,HI,Brian Schatz,Democrat,246827,369703
Idaho,ID,Nels Mitchell,Democrat,151574,437170
Illinois,IL,Richard J. Durbin,Democrat,1929637,3603519
Iowa,IA,Bruce Braley,Democrat,494370,1129700
Kentucky,KY,Alison Lundergan Grimes,Democrat,584698,1435868
Louisiana,LA,Wayne Ables,Democrat,11323,3523183
Louisiana,LA,Vallian Senegal,Democrat,3835,3523183
Louisiana,LA,William P. Waymire Jr.,Democrat,4673,3523183
Louisiana,LA,Mary L. Landrieu,Democrat,1561210,3523183
Maine,ME,Shenna Bellows,Democrat,190254,616996
Massachusetts,MA,Edward J. Markey,Democrat,1289944,2186789
Michigan,MI,Gary C. Peters,Democrat,1704936,3121771
Minnesota,MN,Al Franken,Democrat,1053205,1981528
Mississippi,MS,Travis W. Childers,Democrat,239439,631858
Montana,MT,Amanda Curtis,Democrat,148184,369826
Nebraska,NE,Dave Domina,Democrat,170127,540337
New Hampshire,NH,Jeanne Shaheen,Democrat,251184,488159
New Jersey,NJ,Cory A. Booker,Democrat,1043866,1869535
New Mexico,NM,Tom Udall,Democrat,286409,515506
North Carolina,NC,Kay R. Hagan,Democrat,1377651,2915281
Oklahoma,OK,Connie Johnson,Democrat,237923,820890
Oklahoma,OK,Matt Silverstein,Democrat,234307,820733
Oregon,OR,Jeff Merkley,Democrat,814537,1461618
Rhode Island,RI,Jack Reed,Democrat,223675,316898
South Carolina,SC,Brad Hutto,Democrat,456726,1240075
South Carolina,SC,Joyce Dickerson,Democrat,459583,1238982
South Dakota,SD,Rick Weiland,Democrat,82456,279412
Tennessee,TN,Gordon Ball,Democrat,437848,1374065
Texas,TX,David M. Alameel,Democrat,1597387,4648358
Virginia,VA,Mark R. Warner,Democrat,1073667,2184473
West Virginia,WV,Natalie Tennant,Democrat,156360,453689
Wyoming,WY,Charlie Hardy,Democrat,29377,171153
