State,State_Abbrv,Candidate,Party,Candidate_Votes,Total_Votes
Alabama,AL,Jeff Sessions,Republican,795606,818090
Alaska,AK,Dan Sullivan,Republican,135445,282400
Arkansas,AR,Tom Cotton,Republican,478819,847505
Colorado,CO,Cory Gardner,Republican,983891,2041058
Delaware,DE,Kevin Wade,Republican,98823,234038
Georgia,GA,David A. Perdue,Republican,1358088,2567805
Hawaii,HI,Cam Cavasso,Republican,98006,369703
Idaho,ID,James E. Risch,Republican,285596,437170
Illinois,IL,"James D. ""Jim"" Oberweis",Republican,1538522,3603519
Iowa,IA,Joni Ernst,Republican,588575,1129700
Kansas,KS,Pat Roberts,Republican,460350,866191
Kentucky,KY,Mich McConnell,Republican,806787,1435868
Louisiana,LA,Bill Cassidy,Republican,1712379,3523183
Louisiana,LA,Thomas Clements,Republican,14173,3523183
Louisiana,LA,"""Rob"" Maness",Republican,202556,3523183
Maine,ME,Susan M. Collins,Republican,413505,616996
Massachusetts,MA,Brian J. Herr,Republican,791950,2186789
Michigan,MI,Terri Lynn Land,Republican,1290199,3121771
Minnesota,MN,Mike McFadden,Republican,850227,1981528
Mississippi,MS,Thad Cochran,Republican,378481,631858
Montana,MT,Steve Daines,Republican,213709,369826
Nebraska,NE,Ben Sasse,Republican,347636,540337
New Hampshire,NH,Scott P. Brown,Republican,235347,488159
New Jersey,NJ,Jeff Bell,Republican,791297,1869535
New Mexico,NM,Allen E. Weh,Republican,229097,515506
North Carolina,NC,Thom Tillis,Republican,1423259,2915281
Oklahoma,OK,James M. Inhofe,Republican,558166,820733
Oklahoma,OK,James Lankford,Republican,557002,820890
Oregon,OR,Monica Wehby,Republican,538847,1461618
Rhode Island,RI,Mark S. Zaccaria,Republican,92684,316898
South Carolina,SC,Lindsey Graham,Republican,672941,1240075
South Carolina,SC,Tim Scott,Republican,757215,1238982
South Dakota,SD,Mike Rounds,Republican,140741,279412
Tennessee,TN,Lamar Alexander,Republican,850087,1374065
Texas,TX,John Cornyn,Republican,2861531,4648358
Virginia,VA,Ed. W. Gillespie,Republican,1055940,2184473
West Virginia,WV,Shelley Moore Capito,Republican,281820,453689
Wyoming,WY,Michael B. Enzi,Republican,121554,171153
